"ObjetoOriginal","ObjetoNovo"
"ZDE_CODIGO_RA","ZESZDE_CODIGO_RA"
"ZDE_QTD_ERRO","ZESZDE_QTD_ERRO"
"ZSDE_STATUS_FATURAMENTO","ZESZSDE_STATUS_FATURAMENTO"
"ZNRO_SOL","ZESZNRO_SOL"
"ZDS_NOME_TRANS","ZESZDS_NOME_TRANS"
"ZFIWED020","ZESZFIWED020"
"ZSDD020","ZESZSDD020"
"ZDE_HVI_PADRAO","ZESZDE_HVI_PADRAO"
"ZXNFE_QCARGA","ZESZXNFE_QCARGA"
"ZDE_NR_QUAN_CLASS_FIS","ZESZDE_NR_QUAN_CLASS_FIS"
"ZDM_CASO_ESPECIAL_TRANSPORTE","ZESZDM_CASO_ESPECIAL_TRANSPORTE"
"ZDE_INF_MDFE_MD_RODO_ANTT_CIOT","ZESZDE_INF_MDFE_MD_RODO_ANTT_CIOT"
"Z_PERC_EQ_PATRI","ZESZ_PERC_EQ_PATRI"
"ZDE_GRUPO_MAT","ZESZDE_GRUPO_MAT"
"ZDE_PRAZO_004_CRITICO","ZESZDE_PRAZO_004_CRITICO"
"ZDE_CODIGO_ENQUADRAMENTO","ZESZDE_CODIGO_ENQUADRAMENTO"
"ZDR_SALDO_FISICO","ZESZDR_SALDO_FISICO"
"ZDM_DESC_COMPLEMENTAR","ZESZDM_DESC_COMPLEMENTAR"
"ZDM_MOEDA_CAMBIO","ZESZDM_MOEDA_CAMBIO"
"ZDE_NR_TICKET","ZESZDE_NR_TICKET"
"ZDE_PRIORIDADE","ZESZDE_PRIORIDADE"
"ZDE_VLR_QTDCONT","ZESZDE_VLR_QTDCONT"
"ZDM_VISAO_ZLES0145","ZESZDM_VISAO_ZLES0145"
"ZID_MOEDA","ZESZID_MOEDA"
"ZDO_ITEM_FATURA","ZESZDO_ITEM_FATURA"
"ZPPE_DOC_Z12","ZESZPPE_DOC_Z12"
"ZDE_DATA_MOV","ZESZDE_DATA_MOV"
"ZID_NUM10_1","ZESZID_NUM10_1"
"ZBC_MONITORA_TIPO","ZESZBC_MONITORA_TIPO"
"ZDO_CONTINENTE","ZESZDO_CONTINENTE"
"ZGP_VEIC","ZESZGP_VEIC"
"ZDS_ARQUIVO_BI","ZESZDS_ARQUIVO_BI"
"ZDE_VLR_COND_VENDA","ZESZDE_VLR_COND_VENDA"
"ZDM_LOCAL_DESPACHO","ZESZDM_LOCAL_DESPACHO"
"ZDE_ID_PRODUTOR","ZESZDE_ID_PRODUTOR"
"ZDM_METHOD_REQUEST","ZESZDM_METHOD_REQUEST"
"ZTIPO_MATERIAL","ZESZTIPO_MATERIAL"
"ZDE_VAR_REPVAL","ZESZDE_VAR_REPVAL"
"ZDESD_DS_PROD_PRED","ZESZDESD_DS_PROD_PRED"
"Z_ID_IOF","ZESZ_ID_IOF"
"ZDM_ID_NOTA","ZESZDM_ID_NOTA"
"ZE_S_ID_TANQUE_ORIGEM","ZESZE_S_ID_TANQUE_ORIGEM"
"ZDO_LOGIN","ZESZDO_LOGIN"
"ZDE_STATUS_BLOQ","ZESZDE_STATUS_BLOQ"
"ZDE_DS_USUARIO","ZESZDE_DS_USUARIO"
"ZFIWED010","ZESZFIWED010"
"ZDEPP_QTD_ATUAL","ZESZDEPP_QTD_ATUAL"
"ZNFRET","ZESZNFRET"
"ZDE_INF_CTE_IMPOSTO","ZESZDE_INF_CTE_IMPOSTO"
"ZXNFE_CTE_IDUNIDTRANSP","ZESZXNFE_CTE_IDUNIDTRANSP"
"ZINTG_TRANSPORTA","ZESZINTG_TRANSPORTA"
"ZSDE_VBELV_AGP","ZESZSDE_VBELV_AGP"
"ZDE_IDE_XML_DACTE","ZESZDE_IDE_XML_DACTE"
"ZINTG_ICMS","ZESZINTG_ICMS"
"ZHKONT","ZESZHKONT"
"ZDE_TP_SALDO","ZESZDE_TP_SALDO"
"ZIMOB_A","ZESZIMOB_A"
"ZFLAG_LOTES_OUTRAS","ZESZFLAG_LOTES_OUTRAS"
"ZDE_ID_ESPECIE","ZESZDE_ID_ESPECIE"
"ZSFI_APROV_ISENCAO_JUROS_IT","ZESZSFI_APROV_ISENCAO_JUROS_IT"
"ZOBJETIVO","ZESZOBJETIVO"
"ZTP_VEICULO","ZESZTP_VEICULO"
"ZDETIPOMOV","ZESZDETIPOMOV"
"ZDE_CD_LOTE_ITEM","ZESZDE_CD_LOTE_ITEM"
"ZPER_CRIAR","ZESZPER_CRIAR"
"ZDE_RECURSO_WEBSERVICE","ZESZDE_RECURSO_WEBSERVICE"
"ZSCHZW_BSEG","ZESZSCHZW_BSEG"
"ZDE_HVI_SCI","ZESZDE_HVI_SCI"
"ZCIOT_RESP_PAG","ZESZCIOT_RESP_PAG"
"ZDE_NR_QTDE_QUEBRADO","ZESZDE_NR_QTDE_QUEBRADO"
"ZCHAR1000","ZESZCHAR1000"
"ZDM_NR_BOLETO2","ZESZDM_NR_BOLETO2"
"ZLIQUIDAR","ZESZLIQUIDAR"
"ZCLBP_APROV_PAGTO_SALARIO","ZESZCLBP_APROV_PAGTO_SALARIO"
"ZLESDTOL","ZESZLESDTOL"
"ZDM_ICO_MSG_HEADER","ZESZDM_ICO_MSG_HEADER"
"Z_MEMO_NUMERO","ZESZ_MEMO_NUMERO"
"ZDE_INF_CTE","ZESZDE_INF_CTE"
"ZSDO_APLIC","ZESZSDO_APLIC"
"ZSDED028","ZESZSDED028"
"ZIB_CTE_DIST_VEI_T","ZESZIB_CTE_DIST_VEI_T"
"ZDOMM_STATUS_ID_CTR","ZESZDOMM_STATUS_ID_CTR"
"ZXNFE_DHEMI_UTC","ZESZXNFE_DHEMI_UTC"
"ZCLMM_BP_APROV_PEDIDOS","ZESZCLMM_BP_APROV_PEDIDOS"
"ZDE_NR_PROVISIONAL","ZESZDE_NR_PROVISIONAL"
"ZDM_DS_MESORREGIAO","ZESZDM_DS_MESORREGIAO"
"ZIB_CTE_DIST_IVAS","ZESZIB_CTE_DIST_IVAS"
"ZDE_CTE_DIST_T_ALV","ZESZDE_CTE_DIST_T_ALV"
"ZDM_DOMINIO","ZESZDM_DOMINIO"
"ZDE_F_ARMAZEM","ZESZDE_F_ARMAZEM"
"ZLESLCONHEC","ZESZLESLCONHEC"
"ZXNFE_MDFE_XMUNDESCARGA","ZESZXNFE_MDFE_XMUNDESCARGA"
"ZDE_CHAVE_NFF","ZESZDE_CHAVE_NFF"
"ZDE_TX_AUTO","ZESZDE_TX_AUTO"
"ZDE_ID_PARCEIRO_REME","ZESZDE_ID_PARCEIRO_REME"
"ZACAO_CANC_VIAGEM_ZCTE","ZESZACAO_CANC_VIAGEM_ZCTE"
"ZDE_ID_INTEGRACAO_CANAPRO","ZESZDE_ID_INTEGRACAO_CANAPRO"
"ZDE_US_INTEGRADO","ZESZDE_US_INTEGRADO"
"ZSDE_LOTE_NUMC","ZESZSDE_LOTE_NUMC"
"ZCOST_OBJECT","ZESZCOST_OBJECT"
"ZDESCR_LOTE","ZESZDESCR_LOTE"
"ZDE_AUT_FRETE_TER","ZESZDE_AUT_FRETE_TER"
"ZDM_TIPO_PROP_VEICULO","ZESZDM_TIPO_PROP_VEICULO"
"ZDE_ID_PROC_CLIENTE","ZESZDE_ID_PROC_CLIENTE"
"ZSD_BOOL","ZESZSD_BOOL"
"ZVLRCALC","ZESZVLRCALC"
"ZDE_ODOMETRO","ZESZDE_ODOMETRO"
"ZBAN_CODIGO","ZESZBAN_CODIGO"
"ZDM_ID_ENTRADA","ZESZDM_ID_ENTRADA"
"ZREFNF","ZESZREFNF"
